combo_id,diffusionRate,evaporationRate,senseThreshold,pheromoneStrength,seed,first_food_day,food_trips_before_removal,food_task_count_before_removal,peak_food_pheromone,pheromone_after_1d,trail_decay_fraction_after_1d,trail_half_life_after_removal,brood_total_after_3d,avg_energy_after_3d,avg_hydration_after_3d,final_ants,final_food_pheromone,final_water_pheromone
1,80,80,18,80,1,1.75,1,255,3034,923,0.3042188529993408,0.49999999999999867,68,85,87,422,923,3539
1,80,80,18,80,2,3,0,282,1957,1627,0.8313745528870721,1,67,84,88,423,1627,3810
1,80,80,18,80,3,1.25,3,219,2857,1106,0.3871193559677984,0.9999999999999987,68,85,88,423,1106,3337
1,80,80,18,80,4,1.75,2,270,1763,1026,0.5819625638116847,1,66,84,87,424,1026,7112
1,80,80,18,80,5,1.5,2,278,2739,1674,0.6111719605695509,1,68,85,88,423,1674,2834
2,80,120,18,80,1,3,0,260,2330,791,0.33948497854077253,0.9999999999999987,65,84,87,425,791,2688
2,80,120,18,80,2,3,0,285,1022,1182,1.1565557729941291,1,68,84,87,422,1182,2199
2,80,120,18,80,3,2,1,281,1886,791,0.419406150583245,0.7499999999999987,65,84,86,425,791,2258
2,80,120,18,80,4,2,2,265,3613,1018,0.28176030999169666,0.49999999999999867,66,84,89,424,1018,258
2,80,120,18,80,5,1.5,1,282,625,158,0.2528,0.49999999999999867,66,84,87,424,158,3250
3,120,80,18,80,1,2,1,253,2161,898,0.4155483572420176,0.9999999999999987,67,84,87,423,898,2141
3,120,80,18,80,2,2,2,250,2022,956,0.47279920870425324,0.9999999999999987,66,85,88,424,956,6803
3,120,80,18,80,3,1.75,5,157,6305,2134,0.3384615384615385,0.7499999999999987,65,85,88,425,2134,1498
3,120,80,18,80,4,2,1,274,2512,1415,0.5632961783439491,1,67,84,88,423,1415,3666
3,120,80,18,80,5,1.75,1,268,1652,878,0.5314769975786925,1,68,85,87,423,878,6108
4,120,120,18,80,1,2,1,253,772,147,0.19041450777202074,0.7499999999999987,65,84,87,425,147,1790
4,120,120,18,80,2,1.75,1,283,1193,392,0.32858340318524726,0.49999999999999867,64,84,87,426,392,2508
4,120,120,18,80,3,1.75,1,275,3037,870,0.286466908133026,0.7499999999999987,68,84,88,422,870,1239
4,120,120,18,80,4,1.25,3,257,2765,780,0.2820976491862568,0.7499999999999987,67,85,88,424,780,2071
4,120,120,18,80,5,3,0,284,2305,400,0.1735357917570499,0.49999999999999867,67,85,88,423,400,1158
