condition,metric,n,mean,sd,sem,ci95_low,ci95_high,summary_status,is_core_metric
army_ant_mill_mortality,corpse_fraction,3,0.759524,0.0,0.0,0.759524,0.759524,pass,yes
army_ant_mill_mortality,mills,3,1.0,0.0,0.0,1.0,1.0,pass,yes
army_ant_mill_mortality,survivor_fraction,3,0.247619,0.002381,0.001375,0.245238,0.25,pass,yes
crowding_high_density_bridge,avg_traffic_load,3,0.119,0.027495,0.015875,0.095,0.149,,yes
crowding_high_density_bridge,lower_segment_flow,3,265.304936,52.516104,30.320187,204.708794,297.60846,,yes
crowding_high_density_bridge,total_crossings,3,767.0,120.465763,69.550941,663.0,899.0,,yes
crowding_high_density_bridge,upper_segment_flow,3,119.450362,71.433753,41.242296,70.245906,201.384711,,yes
crowding_low_density_bridge,avg_traffic_load,3,0.027667,0.023245,0.013421,0.01,0.054,,yes
crowding_low_density_bridge,lower_segment_flow,3,103.350067,35.139764,20.287952,64.835023,133.664106,,yes
crowding_low_density_bridge,total_crossings,3,269.666667,14.153916,8.171767,261.0,286.0,,yes
crowding_low_density_bridge,upper_segment_flow,3,39.856904,29.610799,17.095803,18.926591,73.736606,,yes
double_bridge_lower_bias,return_branch_curve_error,3,0.258367,0.089204,0.051502,0.155642,0.316285,,yes
double_bridge_lower_bias,return_dominance,3,0.685759,0.33434,0.193031,0.3,0.891892,,yes
double_bridge_lower_bias,seeded_return_crossings,3,90.333333,17.953644,10.365541,70.0,101.666667,,yes
double_bridge_lower_bias,seeded_return_fraction,3,0.842879,0.16717,0.096516,0.65,0.945946,,yes
double_bridge_unbiased_baseline,return_branch_curve_error,3,0.453008,0.257291,0.148547,0.155916,0.60247,,yes
double_bridge_unbiased_baseline,return_dominance,3,0.556366,0.415359,0.239808,0.076923,0.807229,,yes
double_bridge_unbiased_baseline,seeded_return_fraction,3,0.247458,0.252078,0.145537,0.096386,0.538462,,yes
double_bridge_upper_bias,return_branch_curve_error,3,0.26188,0.081678,0.047157,0.167599,0.311167,,yes
double_bridge_upper_bias,return_dominance,3,0.382337,0.227077,0.131103,0.123457,0.547826,,yes
double_bridge_upper_bias,seeded_return_crossings,3,48.0,37.242449,21.501938,26.0,91.0,,yes
double_bridge_upper_bias,seeded_return_fraction,3,0.349984,0.18426,0.106383,0.226087,0.561728,,yes
food_quality_recruitment,avg_collected_food_quality,6,1.334,0.433199,0.176853,1.018333,1.633237,pass,yes
food_quality_recruitment,high_quality_food_trips,6,158.833333,170.785733,69.722984,45.6625,272.833333,pass,yes
food_quality_recruitment,low_quality_food_trips,6,144.0,184.323628,75.249806,19.666667,268.333333,pass,yes
necrophoresis_cleanup_latency,corpse_moves,3,34.0,2.0,1.154701,32.0,36.0,pass,yes
necrophoresis_cleanup_latency,disposed_corpses,3,34.333333,2.081666,1.20185,32.0,36.0,pass,yes
necrophoresis_cleanup_latency,final_nest_corpses,3,0.333333,0.57735,0.333333,0.0,1.0,pass,yes
necrophoresis_cleanup_latency,initial_nest_corpses,3,36.0,0.0,0.0,36.0,36.0,pass,yes
nest_relocation_quorum_choice,high_quality_site_visits,3,73.973333,12.256661,7.076386,66.54,88.12,pass,yes
nest_relocation_quorum_choice,low_quality_site_visits,3,0.0,0.0,0.0,0.0,0.0,pass,yes
nest_relocation_quorum_choice,nest_quorum_events,3,1.0,0.0,0.0,1.0,1.0,pass,yes
nest_relocation_quorum_choice,nest_relocation_completed,3,1.0,0.0,0.0,1.0,1.0,pass,yes
nest_relocation_quorum_choice,nest_relocations,3,1.0,0.0,0.0,1.0,1.0,pass,yes
no_jam_high_density,mean_displacement,3,142.616325,12.979128,7.493503,132.625697,157.28626,,yes
no_jam_high_density,segment_abs_forward_speed,3,3.510933,0.435914,0.251675,3.1494,3.995,,yes
no_jam_high_density,segment_density,3,0.005367,0.002475,0.001429,0.00258,0.00731,,yes
no_jam_high_density,segment_flow,3,396.950267,34.451111,19.890358,362.5602,431.4621,,yes
no_jam_low_density,mean_displacement,3,212.269832,17.119855,9.884153,201.227369,231.990974,,yes
no_jam_low_density,segment_abs_forward_speed,3,6.826467,0.700212,0.404268,6.0183,7.2517,,yes
no_jam_low_density,segment_density,3,0.001077,0.0005,0.000289,0.0005,0.00139,,yes
no_jam_low_density,segment_flow,3,154.181033,10.813137,6.242968,144.4403,165.8162,,yes
rain_food_removal_washout,food_pheromone_ratio,3,6.8e-05,6e-05,3.5e-05,1.1e-05,0.000131,pass,yes
rain_food_removal_washout,nest_pheromone_ratio,3,0.003645,0.000893,0.000515,0.002643,0.004356,pass,yes
single_food_trail,food_collected,3,651.333333,77.487633,44.737506,592.0,739.0,pass,yes
single_food_trail,food_trips,3,131.666667,13.428825,7.753136,122.0,147.0,pass,yes
single_food_trail,gradient_alignment_ratio,3,0.971333,0.004041,0.002333,0.967,0.975,pass,yes
single_food_trail,trail_segment_mean_speed,3,8.530767,0.597495,0.344964,8.1283,9.2173,pass,yes
