profile,phase,n,mean_phase_food_trips,mean_phase_food_collected,mean_avg_turn_noise,mean_avg_base_turn_noise,mean_avg_exploration_drive,mean_avg_traffic_load,mean_traffic_max_cell,mean_ants_with_food_memory,mean_food_memory_strength,mean_food_pheromone,trips_vs_initial,collected_vs_initial
diverse,initial_food,3,2.667,11.333,0.0598,0.0604,0.0047,0.007,3.333,18.333,0.5633,15119.0,1.0,1.0
diverse,relocated_early,3,3.333,14.667,0.0608,0.0604,0.023,0.0083,4.333,23.333,0.5553,26578.667,1.25,1.294
diverse,relocated_late,3,16.333,80.0,0.0628,0.0604,0.0677,0.0987,8.333,34.333,0.5673,44389.333,6.124,7.059
diverse,relocated_total,3,19.667,94.667,0.0628,0.0604,0.0677,0.0987,8.333,34.333,0.5673,44389.333,7.374,8.353
high,initial_food,3,1.333,5.667,0.10413,0.105,0.0077,0.011,4.0,11.0,0.48,9039.667,1.0,1.0
high,relocated_early,3,2.0,9.333,0.10487,0.105,0.0137,0.0043,3.0,17.333,0.47,15695.333,1.5,1.647
high,relocated_late,3,17.333,85.333,0.10383,0.105,0.0057,0.0033,3.667,17.667,0.4753,28775.0,13.003,15.058
high,relocated_total,3,19.333,94.667,0.10383,0.105,0.0057,0.0033,3.667,17.667,0.4753,28775.0,14.503,16.705
low,initial_food,3,4.0,18.333,0.0191,0.018,0.065,0.1427,8.667,52.667,0.6627,39049.0,1.0,1.0
low,relocated_early,3,9.667,46.667,0.0228,0.018,0.163,0.2153,10.333,54.667,0.6347,43096.0,2.417,2.546
low,relocated_late,3,54.333,266.333,0.02453,0.018,0.1907,0.277,10.667,29.667,0.6003,36393.333,13.583,14.528
low,relocated_total,3,64.0,313.0,0.02453,0.018,0.1907,0.277,10.667,29.667,0.6003,36393.333,16.0,17.073
medium,initial_food,3,3.0,16.0,0.05493,0.055,0.0037,0.006,3.333,14.667,0.501,13092.667,1.0,1.0
medium,relocated_early,3,4.333,24.0,0.0559,0.055,0.019,0.0127,4.667,23.667,0.521,23715.333,1.444,1.5
medium,relocated_late,3,21.667,112.667,0.05757,0.055,0.0447,0.066,6.0,35.333,0.5147,44136.333,7.222,7.042
medium,relocated_total,3,26.0,136.667,0.05757,0.055,0.0447,0.066,6.0,35.333,0.5147,44136.333,8.667,8.542
