profile,phase,n,mean_phase_food_trips,mean_phase_food_collected,mean_avg_turn_noise,mean_food_pheromone,trips_vs_initial,collected_vs_initial
diverse,initial_food,8,27.375,135.875,0.0604,56259.25,1.0,1.0
diverse,relocated_early,8,18.875,94.5,0.0604,53833.75,0.689,0.695
diverse,relocated_late,8,68.0,337.0,0.06036,27622.875,2.484,2.48
diverse,relocated_total,8,86.875,431.5,0.06036,27622.875,3.174,3.176
high,initial_food,8,17.5,87.875,0.105,20411.625,1.0,1.0
high,relocated_early,8,4.375,22.5,0.105,26247.625,0.25,0.256
high,relocated_late,8,43.375,219.75,0.10491,31212.5,2.479,2.501
high,relocated_total,8,47.75,242.25,0.10491,31212.5,2.729,2.757
low,initial_food,8,131.375,651.25,0.018,52488.875,1.0,1.0
low,relocated_early,8,49.25,248.25,0.018,41221.25,0.375,0.381
low,relocated_late,8,151.125,759.875,0.01811,39450.25,1.15,1.167
low,relocated_total,8,200.375,1008.125,0.01811,39450.25,1.525,1.548
medium,initial_food,8,38.0,190.125,0.055,57874.125,1.0,1.0
medium,relocated_early,8,25.5,131.125,0.055,54023.125,0.671,0.69
medium,relocated_late,8,56.375,281.5,0.05502,15925.875,1.484,1.481
medium,relocated_total,8,81.875,412.625,0.05502,15925.875,2.155,2.17
